PublYearMonth,Company,M,L,C,KD,S,V,MP,SD,FI,Uncertain,n,PublDate,collectPeriodFrom,collectPeriodTo,approxPeriod,house
2023-apr,Sifo,19.6,3.3,4.3,3.8,36.9,7.1,4.5,18.8,NA,NA,3671,2023-04-15,2023-04-03,2023-04-13,FALSE,Sifo
2023-apr,Demoskop,21.8,3.5,4.7,3.9,35.3,7.9,2.9,18.6,NA,NA,2026,2023-04-06,2023-03-24,2023-04-03,FALSE,Demoskop
2023-apr,Novus,19.9,3.6,4.6,3.5,37.6,7.7,4.3,17.5,NA,NA,3514,2023-04-05,2023-02-27,2023-04-02,FALSE,Novus
2023-mar,Ipsos,19,3,5,4,37,8,5,18,NA,NA,1719,2023-03-29,2023-03-14,2023-03-26,FALSE,Ipsos
2023-mar,Sifo,19.4,3.5,3.8,4.3,37,7.8,3.9,18.6,NA,NA,5222,2023-03-17,2023-03-06,2023-03-16,FALSE,Sifo
2023-mar,Demoskop,21.7,3.5,4.4,4.4,34.3,8.2,2.8,19,NA,NA,2135,2023-03-08,2023-02-24,2023-03-06,FALSE,Demoskop
2023-mar,Novus,20.2,3.5,4.9,3.6,38.2,6.7,4.4,17.3,NA,NA,3370,2023-03-02,2023-01-30,2023-02-26,FALSE,Novus
2023-feb,Ipsos,20,3,5,4,36,7,4,19,NA,NA,1520,2023-02-28,2023-02-14,2023-02-26,FALSE,Ipsos
2023-feb,Sifo,19.3,3.5,4.3,4.3,36.5,7.5,4.3,18.4,NA,NA,6363,2023-02-16,2023-02-06,2023-02-16,FALSE,Sifo
2023-feb,Demoskop,21.1,3.1,5.5,4,34,7.9,3.2,18.6,NA,NA,2103,2023-02-08,2023-01-27,2023-02-06,FALSE,Demoskop
2023-feb,Novus,19.7,3,5,4.3,37.1,7.4,5,16.9,NA,NA,3539,2023-02-01,2023-01-02,2023-01-29,FALSE,Novus
2023-jan,Ipsos,18,4,5,4,37,8,4,18,NA,NA,1659,2023-01-31,2023-01-17,2023-01-29,FALSE,Ipsos
2023-jan,Sifo,18.4,3.3,5.2,4.1,36.1,7.8,4.4,19,NA,NA,3941,2023-01-20,2023-01-09,2023-01-19,FALSE,Sifo
