Company;PublYearMonth;PublDate;source
Demoskop;2020-mar;2020-03-07;https://www.aftonbladet.se/nyheter/samhalle/a/XgAjqE/succe-for-sjostedt-hogsta-stodet-pa-15-ar
Sifo;2020-feb;2020-02-14;https://web.archive.org/web/20200224165129/https://www.kantarsifo.se/sites/default/files/reports/documents/valjarbarometer_februari_2020.pdf
Sifo;2018-maj;2018-05-18;https://web.archive.org/web/20201025025709/https://www.kantarsifo.se/sites/default/files/reports/documents/vb_maj_2018.pdf
Sifo;2018-apr;2018-04-13;https://web.archive.org/web/20210511045708/https://www.kantarsifo.se/sites/default/files/reports/documents/vb_april_2018.pdf
Sifo;2015-maj;NA;https://web.archive.org/web/20160305014305/http://www.tns-sifo.se/media/564553/vb_maj_2015_svd.pdf
Sifo;2015-maj;NA;https://web.archive.org/web/20150709204058/http://tns-sifo.se/media/559276/vb_mar_2015_svd.pdf
Sifo;2015-feb;2015-02-15;https://web.archive.org/web/20150518101143/http://www.tns-sifo.se/media/540536/vb_feb_2015_svd.pdf
Sifo;2015-apr;2015-04-18;https://web.archive.org/web/20150505224026/http://www.tns-sifo.se/media/561004/vb_apr_2015_svd.pdf
Sifo;2014-nov;2014-11-23;https://web.archive.org/web/20150222040751/http://tns-sifo.se/media/525771/vb_nov_2014_svd.pdf
Sifo;2014-jun;2014-06-15;https://web.archive.org/web/20140625074203/http://tns-sifo.se/media/512543/vb_jun_2014_svd.pdf
Sifo;2014-dec;2014-12-21;https://web.archive.org/web/20141224141022/http://www.tns-sifo.se/media/527300/vb_dec_2014_svd.pdf
Demoskop;2013-mar;2013-03-08;Data from Demoskop
Demoskop;2013-jan;2013-01-12;Data from Demoskop
Demoskop;2013-feb;2013-02-11;Data from Demoskop
Demoskop;2012-sep;2012-09-07;Data from Demoskop
Demoskop;2012-okt;2012-10-06;Data from Demoskop
Demoskop;2012-nov;2012-11-09;Data from Demoskop
Demoskop;2012-mar;2012-03-14;Data from Demoskop
Demoskop;2012-maj;2012-05-04;Data from Demoskop
Demoskop;2012-jun;2012-06-08;Data from Demoskop
Demoskop;2012-jul;2012-07-06;Data from Demoskop
Demoskop;2012-jan;2012-01-09;Data from Demoskop
Demoskop;2012-feb;2012-02-03;Data from Demoskop
